Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes,Is Common Movie
Drive,2011,93,103.379,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks","Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior,...",81357930,Drama,7.8,78,100,618214,TRUE
Batman,1989,72,78.034,Tim Burton,"Jack Nicholson, Michael Keaton, Kim Basinger, Robert Wuhl","Having witnessed his parents' brutal murder as a child, millionaire philanthropist Bruce Wayne (Michael Keaton) fights crime in Gotham City...",411348924,Comedy,7.5,,25,22004,TRUE
Under Siege,1992,79,80.827,Andrew Davis,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak","A heroic loner takes on a group of nuclear terrorists in this seagoing tale. Posing as a rock band, the...",156563139,Thriller,6.5,58,103,85662,TRUE
Independence Day,1996,67,70.529,Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell","In the epic adventure film ""Independence Day,"" strange phenomena surface around the globe. The skies ignite. Terror races through the...",817400878,Adventure,7,59,145,563005,TRUE
Bullitt,1968,98,101.562,Peter Yates,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon",Senator Walter Chalmers (Robert Vaughn) is aiming to take down mob boss Pete Ross (Vic Tayback) with the help of...,42300945,Thriller,7.4,81,114,67986,TRUE
Wanted,2008,71,79.843,Timur Bekmambetov,"James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp","Wesley Gibson (James McAvoy) is an office worker whose life is going nowhere. After his estranged father is murdered, he...",342416460,Drama,7.6,,60,5819,TRUE
Superman: The Movie,1978,94,101.409,Richard Donner,"Christopher Reeve, Gene Hackman, Marlon Brando, Margot Kidder","Just before the destruction of the planet Krypton, scientist Jor-El (Marlon Brando) sends his infant son Kal-El on a spaceship...",,,,,,,FALSE
Ronin,1998,69,71.255,John Frankenheimer,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgard","Deirdre (Natascha McElhone) puts together a team of experts that she tasks with stealing a valuable briefcase, the contents of...",70692101,Thriller,7.2,67,122,181993,FALSE
They Live,1988,85,88.306,John Carpenter,"Roddy Piper, Keith David, Meg Foster, George ""Buck"" Flower","Nada (Roddy Piper), a wanderer without meaning in his life, discovers a pair of sunglasses capable of showing the world...",13000774,Horror,7.2,55,94,126296,FALSE
Cliffhanger,1993,67,71.229,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner",Outdoor thriller in which a former mountain rescuer is pitted against a group of criminals who have lost their $100...,255000000,Adventure,6.5,60,113,128308,TRUE
Marvel's the Avengers,2012,91,106.754,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","When Thor's evil brother, Loki (Tom Hiddleston), gains access to the unlimited power of the energy cube called the Tesseract,...",,,,,,,FALSE
The Warriors,1979,87,90.637,Walter Hill,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler",A turf battle between New York City street gangs that rages from Coney Island to the Bronx. The Warriors are...,22490943,Thriller,7.6,65,93,101233,FALSE
Starship Troopers,1997,66,69.799,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey","In the distant future, the Earth is at war with a race of giant alien insects. Little is known about...",121100000,Sci-Fi,7.3,51,129,289366,TRUE
Elite Squad 2,2010,91,92.093,Jos¨¦ Padilha,"Wagner Moura, Irandhir Santos, Andr¨¦ Ramiro, Pedro Van-Held","Dirty cops and corrupt, powerful politicians threaten Nascimento (Wagner Moura)....",,,,,,,FALSE
Point Break,1991,69,72.735,Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty","After a string of bizarre bank robberies in Southern California, with the crooks donning masks of various former presidents, a...",126704591,Thriller,7.2,58,122,177599,FALSE
The Long Kiss Goodnight,1996,68,68.48,Renny Harlin,"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko",Schoolteacher and single mother Samantha Caine (Geena Davis) lives an average suburban life -- until she begins having strange memories...,33447612,Drama,6.8,44,121,79093,FALSE
The Guest,2014,92,95.545,Adam Wingard,"Dan Stevens, Maika Monroe, Leland Orser, Sheila Kelley",A string of mysterious deaths leads a teenager to become suspicious of a soldier (Dan Stevens) who showed up on...,2107051,Thriller,6.7,76,100,99145,FALSE
Taken,2008,59,65.409,Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser","Bryan Mills (Liam Neeson), a former government operative, is trying to reconnect with his daughter, Kim (Maggie Grace). Then his...",226941585,Drama,6.5,,41,10701,FALSE
300,2006,61,70.688,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West","In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the...",454161935,Drama,7.6,52,117,802949,FALSE
True Lies,1994,69,71.906,James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton","Secretly a spy but thought by his family to be a dull salesman, Harry Tasker (Arnold Schwarzenegger) is tracking down...",365300000,Comedy,7.3,63,141,253697,TRUE
Demolition Man,1993,62,61.802,Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne","With innocent victims caught in the crossfire in Los Angeles' intensifying war on crime, both cop John Spartan (Sylvester Stallone)...",159055768,Sci-Fi,6.7,34,115,172680,FALSE
Hardcore Henry,2015,51,60.174,Ilya Naishuller,"Sharlto Copley, Danila Kozlovsky, Haley Bennett, Dasha Charusha",A man wakes up in a Moscow laboratory to learn that he's been brought back from the dead as a...,17187434,Sci-Fi,6.7,51,96,94053,FALSE
Police Story,1985,93,92.135,Jackie Chan,"Jackie Chan, Brigitte Lin, Maggie Cheung, Bill Tung",A kung-fu policeman (Jackie Chan) must protect a female witness (Brigitte Lin) from a Hong Kong drug lord for whom...,,Comedy,7.5,78,100,35498,FALSE
Brotherhood of the Wolf,2001,73,76.856,Christophe Gans,"Samuel Le Bihan, Mark Dacascos, ?milie Dequenne, Vincent Cassel","In a rural province of France, a mysterious creature is laying waste to the countryside, savagely killing scores of women...",,Drama,7,57,142,66216,FALSE
Kingsman: The Secret Service,2014,75,85.097,Matthew Vaughn,"Colin Firth, Michael Caine, Taron Egerton, Samuel L. Jackson","Gary ""Eggsy"" Unwin (Taron Egerton), whose late father secretly worked for a spy organization, lives in a South London housing...",404561724,Comedy,7.7,60,129,652323,FALSE
The Fifth Element,1997,70,73.729,Luc Besson,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich","In the 23rd century, a New York City cabbie, Korben Dallas (Bruce Willis), finds the fate of the world in...",263893838,Sci-Fi,7.6,52,126,463853,TRUE
Big Trouble in Little China,1986,75,79.689,John Carpenter,"Kurt Russell, Kim Cattrall, Dennis Dun, James Hong","Kurt Russell plays hard-boiled truck driver Jack Burton, who gets caught in a bizarre conflict within, and underneath, San Francisco's...",11208970,Comedy,,,,,FALSE
Atomic Blonde,2017,79,106.387,David Leitch,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman","Sensual and savage, Lorraine Broughton is the most elite spy in MI6, an agent who's willing to use all of...",98345423,Thriller,6.7,63,115,189851,FALSE
Rumble in the Bronx,1995,80,80.316,Stanley Tong,"Jackie Chan, Anita Mui, Bill Tung, Fran?oise Yip","Hong Kong policeman Keung (Jackie Chan) arrives in New York for the wedding of his uncle Bill (Bill Tung), a...",36238752,Comedy,6.7,61,87,41961,FALSE
District B13,2004,80,84.67,Pierre Morel,"Cyril Raffaelli, David Belle, Tony D'Amario, Larbi Naceri","In 21st-century Paris, a member (Cyril Raffaelli) of an elite police squad must enter a crime-ridden ghetto to defuse a...",,Sci-Fi,7.1,70,84,69760,FALSE
Ong-Bak: The Thai Warrior,2003,85,89.258,Prachya Pinkaew,"Tony Jaa, Pumwaree Yodkamol, Petchtai Wongkamlao, Suchao Pongwilai","In Thailand, the impoverished village of Ban Nong Pradu has its most precious Buddha statue stolen from the temple. Luckily...",,Thriller,7.1,69,105,74221,FALSE
Collateral,2004,86,95.903,Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo",A cab driver realizes his current fare is a hit man that has been having him drive around from mark...,217602967,Drama,7.5,71,120,390124,TRUE
Iron Monkey,1993,91,93.4,Woo-Ping Yuen,"Rongguang Yu, Donnie Yen, Sze-Man Tsang, Jean Wang","In a desperate and unjust land, where government corruption rules the day, only one man has the courage to challenge...",14681661,,,,,,FALSE
Escape From New York,1981,87,91.138,John Carpenter,"Kurt Russell, Ernest Borgnine, Adrienne Barbeau, Lee Van Cleef","In 1997, a major war between the United States and the Soviet Union is concluding, and the entire island of...",,,,,,,FALSE
Battle Royale,2000,88,88.058,Kinji Fukasaku,"Tatsuya Fujiwara, Aki Maeda, Taro Yamamoto, Masanobu And?","42 9th graders are sent to a deserted island. They are given a map, food, and various weapons. An explosive...",,Drama,7.6,81,114,180707,FALSE
Spider-Man 2,2004,93,104.605,Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina","When a failed nuclear fusion experiment results in an explosion that kills his wife, Dr. Otto Octavius (Alfred Molina) is...",794697557,Horror,,,,,TRUE
13 Assassins,2010,95,100.007,Takashi Miike,"Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki","In this remake of a 1963 film based on historical events, Shinzaemon Shimada leads a team of assassins in 19th-century...",,Adventure,7.5,84,141,65066,FALSE
Full Contact,1992,88,67.863,Ringo Lam,"Chow Yun-Fat, Simon Yam, Bonnie Fu, Wong Chow-Sang","Jeff (Chow Yun-Fat), who works as a nightclub bouncer in Bangkok, saves his friend Sam (Wong Chow-Sang) from a beating...",,,,,,,FALSE
A Better Tomorrow,1986,93,92.52,John Woo,"Ti Lung, Chow Yun-Fat, Leslie Cheung, Emily Chu",A Hong Kong policeman (Leslie Cheung) blames his reformed-gangster brother (Chow Yun-Fat) for the death of their father....,,Thriller,7.4,78,95,22736,FALSE
Iron Man,2008,94,105.234,Jon Favreau,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow, Jeff Bridges","A billionaire industrialist and genius inventor, Tony Stark (Robert Downey Jr.), is conducting weapons tests overseas, but terrorists kidnap him...",585171547,Sci-Fi,7.9,79,126,1027013,TRUE
The Night Comes for Us,2018,91,91.145,Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang","Ito, a gangland enforcer, is caught amidst a treacherous and violent insurrection within his Triad crime family....",,Thriller,6.9,69,121,25557,FALSE
Logan,2017,94,126.287,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant","In the near future, a weary Logan (Hugh Jackman) cares for an ailing Professor X (Patrick Stewart) at a remote...",614202315,Drama,8.1,77,137,729509,TRUE
Goldfinger,1964,99,103.828,Guy Hamilton,"Sean Connery, Gert Frobe, Honor Blackman, Shirley Eaton","Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and...",124900000,Thriller,7.7,87,110,187176,TRUE
Assault on Precinct 13,1976,95,98.805,John Carpenter,"Austin Stoker, Darwin Joston, Laurie Zimmer, Martin West","When the LAPD kills several members of the South Central gang Street Thunder, the remaining members avenge themselves by way...",,Horror,7.3,89,91,49472,FALSE
Wonder Woman,2017,93,129.061,Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright","Before she was Wonder Woman (Gal Gadot), she was Diana, princess of the Amazons, trained to be an unconquerable warrior....",818058221,Sci-Fi,7.4,76,141,637712,FALSE
The Chinese Connection,1972,83,83.27,Lo Wei,"Bruce Lee, Miao Ker Hsiu, James Tien, Robert Baker","Chen Zhen (Bruce Lee) has left his homeland of China and relocated to stay with family in Thailand. Chen, who...",,,,,,,FALSE
Captain America: The Winter Soldier,2014,90,102.765,Anthony Russo,"Chris Evans, Scarlett Johansson, Samuel L. Jackson, Sebastian Stan","After the cataclysmic events in New York with his fellow Avengers, Steve Rogers, aka Captain America (Chris Evans), lives in...",714401889,Sci-Fi,7.8,70,136,816491,TRUE
Oldboy,2003,81,87.284,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han","Dae-Su is an obnoxious drunk bailed from the police station yet again by a friend. However, he's abducted from the...",6226386,Drama,8.4,77,101,561949,FALSE
The French Connection,1971,97,105.251,William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco","New York Detective ""Popeye"" Doyle (Gene Hackman) and his partner (Roy Scheider) chase a French heroin smuggler....",41159423,Drama,7.7,94,104,120723,TRUE
Furious 7,2015,82,92.738,James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez","After defeating international terrorist Owen Shaw, Dominic Toretto (Vin Diesel), Brian O'Conner (Paul Walker) and the rest of the crew...",1516881526,Thriller,7.1,67,137,383825,FALSE
La Femme Nikita,1990,89,90.856,Luc Besson,"Anne Parillaud, Jean-Hugues Anglade, Tcheky Karyo, Jeanne Moreau","Convicted felon Nikita (Anne Parillaud), instead of going to jail, is given a new identity and trained to be a...",,Drama,7.4,,60,9830,FALSE
Supercop,1992,96,98.779,Stanley Tong,"Jackie Chan, Michelle Yeaoh, Maggie Cheung, Ken Tsang","To infiltrate a drug cartel, police Inspector Chan Ka Kui (Jackie Chan) goes undercover in a Chinese prison. There, he...",16270600,Comedy,6.9,,91,21258,FALSE
Dirty Harry,1971,88,91.759,Don Siegel,"Clint Eastwood, Harry Guardino, Reni Santoni, John Larch",Cop Harry Callahan (Clint Eastwood) attempts to track down a psychopathic rooftop killer before a kidnapped girl dies. When he...,28153434,Thriller,7.7,87,102,153775,FALSE
Edge of Tomorrow,2014,91,104.772,Doug Liman,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton","When Earth falls under attack from invincible aliens, no military unit in the world is able to beat them. Maj....",367028980,Sci-Fi,7.9,71,113,656178,FALSE
X2,2003,85,93.383,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry","Stryker (Brian Cox), a villianous former Army commander, holds the key to Wolverine's (Hugh Jackman) past and the future of...",,,,,,,FALSE
The Fugitive,1993,96,102.607,Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore","Wrongfully accused of murdering his wife, Richard Kimble (Harrison Ford) escapes from the law in an attempt to find her...",353715317,Drama,7.8,87,130,288717,TRUE
Black Panther,2018,96,129.316,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira","After the death of his father, T'Challa returns home to the African nation of Wakanda to take his rightful place...",1336494321,Sci-Fi,7.3,88,134,721672,TRUE
Inception,2010,87,101.215,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",Dom Cobb (Leonardo DiCaprio) is a thief with the rare ability to enter people's dreams and steal their secrets from...,728582465,Sci-Fi,8.8,74,148,2269649,TRUE
Braveheart,1995,76,81.564,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack",Tells the story of the legendary thirteenth century Scottish hero named William Wallace (Mel Gibson). Wallace rallies the Scottish against...,209045244,Drama,8.4,68,178,1016911,TRUE
Minority Report,2002,90,97.988,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow","Based on a story by famed science fiction writer Philip K. Dick, ""Minority Report"" is an action-detective thriller set in...",358824714,Sci-Fi,7.7,80,145,540079,TRUE
Avengers: Endgame,2019,94,128.391,Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply...",2797800564,Drama,8.4,78,181,1051097,TRUE
Dredd,2012,79,86.265,Pete Travis,"Karl Urban, Olivia Thirlby, Lena Headey, Wood Harris","Mega City One is a vast, violent metropolis where felons rule the streets. The only law lies with cops called...",41467606,Sci-Fi,7.1,60,95,269960,FALSE
The Bourne Identity,2002,84,89.619,Doug Liman,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen","The story of a man (Matt Damon), salvaged, near death, from the ocean by an Italian fishing boat. When he...",214357371,Thriller,7.9,68,119,538376,FALSE
Ip Man,2008,86,85.33,Wilson Yip,"Donnie Yen, Simon Yam, Siu-wong Fan, Ka Tung Lam","The life story of Yip Man, the first person to teach the Chinese martial art of Wing Chun....",22114423,Drama,8,59,106,221414,FALSE
Face/Off,1997,92,96.14,John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola","Obsessed with bringing terrorist Castor Troy (Nicolas Cage) to justice, FBI agent Sean Archer (John Travolta) tracks down Troy, who...",241200000,Sci-Fi,7.3,82,138,370301,TRUE
To Live and Die in L.A.,1985,85,87.178,William Friedkin,"William L. Petersen, Willem Dafoe, John Pankow, Debra Feuer","When his longtime partner on the force is killed, reckless U.S. Secret Service agent Richard Chance (William L. Petersen) vows...",17307019,Drama,7.3,81,116,33190,FALSE
The Dark Knight,2008,94,108.295,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","With the help of allies Lt. Jim Gordon (Gary Oldman) and DA Harvey Dent (Aaron Eckhart), Batman (Christian Bale) has...",998615789,Drama,9,84,152,2556835,TRUE
Mission: Impossible -- Ghost Protocol,2011,93,103.468,Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton","Blamed for a terrorist attack on the Kremlin, Ethan Hunt (Tom Cruise) and the entire IMF agency are disavowed by...",,,,,,,FALSE
Fast Five,2011,77,85.281,Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson",Ever since ex-cop Brian O'Conner (Paul Walker) and Mia Torretto (Jordana Brewster) broke her brother Dom (Vin Diesel) out of...,630163454,Thriller,7.3,66,130,375390,FALSE
Lethal Weapon,1987,80,83.824,Richard Donner,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan","Following the death of his wife, Los Angeles police detective Martin Riggs (Mel Gibson) becomes reckless and suicidal. When he...",120192350,Comedy,7.8,,44,37688,TRUE
The Rock,1996,68,70.818,Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn","FBI chemical warfare expert Stanley Goodspeed (Nicolas Cage) is sent on an urgent mission with a former British spy, John...",336069511,Thriller,7.4,58,136,333073,TRUE
RoboCop,1987,90,95.419,Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Daniel O'Herlihy","In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the...",242981799,Sci-Fi,7.6,67,102,252581,TRUE
John Wick: Chapter 2,2017,89,109.323,Chad Stahelski,"Keanu Reeves, Common, Laurence Fishburne, Riccardo Scamarcio",Retired super-assassin John Wick's plans to resume a quiet civilian life are cut short when Italian gangster Santino D'Antonio shows...,,Thriller,7.4,75,122,414765,FALSE
Casino Royale,2006,94,105.806,Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench","After receiving a license to kill, British Secret Service agent James Bond (Daniel Craig) heads to Madagascar, where he uncovers...",594420283,Comedy,5,48,131,29875,TRUE
Baby Driver,2017,92,122.963,Edgar Wright,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal",Talented getaway driver Baby (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in the...,227250102,Drama,7.6,86,113,512320,TRUE
Fist of Legend,1994,100,75.121,Gordon Chan,"Jet Li, Chin Siu Ho, Billy Chow, Yasuaki Kurata","Chinese martial arts student Chen Zhen (Jet Li) is studying in Kyoto, Japan, when he learns his mentor has died...",,,,,,,FALSE
The Killer,1989,98,99.825,John Woo,"Chow Yun-Fat, Danny Lee, Sally Yeh, Kenneth Tsang","Mob assassin Jeffrey (Chow Yun-Fat) is no ordinary hired gun; the best in his business, he views his chosen profession...",,Drama,,,,,FALSE
The Raid 2,2014,82,88.389,Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara","After surviving a bloody fight with powerful gangsters, rookie Jakarta cop Rama (Iko Uwais) thinks he can resume a normal...",,Thriller,7.9,71,150,121696,FALSE
Enter the Dragon,1973,95,98.841,Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri",Bruce Lee plays a martial-arts expert determined to help capture the narcotics dealer whose gang was responsible for the death...,21485066,Drama,7.6,83,102,103285,FALSE
Commando,1985,69,70.179,Mark L. Lester,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells","Retired Special Forces soldier John Matrix (Arnold Schwarzenegger) lives with daughter Jenny (Alyssa Milano) in isolation, but his privacy is...",35078864,Thriller,6.7,51,90,158053,FALSE
First Blood,1982,87,87.117,Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso",Vietnam veteran and drifter John J. Rambo (Sylvester Stallone) wanders into a small Washington town in search of an old...,125212904,Thriller,7.7,61,93,246052,FALSE
Mission: Impossible Rogue Nation,2015,94,106.886,Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson","With the IMF now disbanded and Ethan Hunt (Tom Cruise) out in the cold, a new threat -- called the...",,,,,,,FALSE
The Terminator,1984,100,104.615,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield","Disguised as a human, a cyborg assassin known as a Terminator (Arnold Schwarzenegger) travels from 2029 to 1984 to kill...",78019031,Sci-Fi,8.1,84,107,842030,FALSE
Gladiator,2000,78,84.793,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed","Commodus (Joaquin Phoenix) takes power and strips rank from Maximus (Russell Crowe), one of the favored generals of his predecessor...",456435588,Drama,8.5,67,155,1453863,TRUE
Kill Bill: Vol. 1,2003,85,92.962,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen","A former assassin, known simply as The Bride (Uma Thurman), wakes from a coma four years after her jealous ex-lover...",,Drama,8.2,69,111,1083984,FALSE
The Professional,1994,73,76.807,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello","Mathilda (Natalie Portman) is only 12 years old, but is already familiar with the dark side of life: her abusive...",,Thriller,7.4,,108,15389,FALSE
Speed,1994,94,98.334,Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton",Los Angeles police officer Jack (Keanu Reeves) angers retired bomb squad member Howard Payne (Dennis Hopper) by foiling his attempt...,283200000,Thriller,7.3,78,116,356055,TRUE
Drunken Master II,1994,84,85.387,Chia-Liang Liu,"Jackie Chan, Ti Lung, Anita Mui, Kar-leung Lau","From a land where honor and tradition reign, comes the legend of a martial-arts hero unlike any other -- the...",,,,,,,FALSE
John Wick,2014,86,95.498,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",Legendary assassin John Wick (Keanu Reeves) retired from his violent career after marrying the love of his life. Her sudden...,76010510,Thriller,7.4,68,101,606041,FALSE
"Crouching Tiger, Hidden Dragon",2000,97,102.82,Ang Lee,"Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chen Chang","In 19th century Qing Dynasty China, a warrior (Chow Yun-Fat) gives his sword, Green Destiny, to his lover (Michelle Yeoh)...",213514672,Adventure,7.9,94,120,265710,TRUE
Predator,1987,80,82.798,John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Elpidia Carrillo","Dutch (Arnold Schwarzenegger), a soldier of fortune, is hired by the U.S. government to secretly rescue a group of politicians...",98267558,Sci-Fi,7.8,45,107,399972,TRUE
The Bourne Ultimatum,2007,92,103.329,Paul Greengrass,"Matt Damon, Julia Stiles, Joan Allen, David Strathairn",Jason Bourne (Matt Damon) continues his international quest to uncover his true identity. From Russia to Europe to northern Africa...,444043396,Thriller,8,85,115,627503,TRUE
Total Recall,1990,82,87.033,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox",Douglas Quaid (Arnold Schwarzenegger) is a bored construction worker in the year 2084 who dreams of visiting the colonized Mars....,261399830,Sci-Fi,7.5,57,113,323899,TRUE
Mad Max 2,1981,94,97.669,George Miller,"Mel Gibson, Bruce Spence, Emil Minty, Vernon Wells","After avenging the death of his wife and young son at the hands of a vicious gang leader, Max (Mel...",,,,,,,FALSE
Heat,1995,88,92.8,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight","Master criminal Neil McCauley (Robert De Niro) is trying to control the rogue actions of one of his men, while...",187433328,Drama,8.3,76,170,633949,FALSE
The Raid: Redemption,2011,87,93.412,Gareth Huw Evans,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yayan Ruhian","A rookie member of an elite team of commandos, Rama (Iko Uwais) is instructed to hang back while his comrades-in-arms...",,Thriller,7.6,73,101,201921,FALSE
Mission: Impossible -- Fallout,2018,97,124.531,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg",Ethan Hunt and the IMF team join forces with CIA assassin August Walker to prevent a disaster of epic proportions....,,,,,,,FALSE
Aliens,1986,97,104.618,James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser","After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team....",183300764,Sci-Fi,8.4,84,137,699565,TRUE
Hard-Boiled,1992,94,96.414,John Woo,"Chow Yun-Fat, Bowie Lam, Philip Chan, Tony Leung Chiu Wai",A cop who loses his partner in a shoot-out with gun smugglers goes on a mission to catch them. In...,,,,,,,FALSE
The Matrix,1999,88,93.927,Andy Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","Neo (Keanu Reeves) believes that Morpheus (Laurence Fishburne), an elusive figure considered to be the most dangerous man alive, can...",465974198,Sci-Fi,8.7,73,136,1858656,TRUE
Terminator 2: Judgment Day,1991,93,98.106,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","In this sequel set eleven years after ""The Terminator,"" young John Connor (Edward Furlong), the key to civilization's victory over...",515390883,Sci-Fi,8.6,75,137,1068128,TRUE
Die Hard,1988,94,99.857,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",New York City policeman John McClane (Bruce Willis) is visiting his estranged wife (Bonnie Bedelia) and two daughters on Christmas...,139434346,Thriller,8.2,72,132,857240,TRUE
Mad Max: Fury Road,2015,97,114.924,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne","Years after the collapse of civilization, the tyrannical Immortan Joe enslaves apocalypse survivors inside the desert fortress the Citadel. When...",367457874,Sci-Fi,8.1,90,120,969134,TRUE
A Nightmare on Elm Street 3: Dream Warriors,1987,71,73.376,Chuck Russell,"Heather Langenkamp, Patricia Arquette, Craig Wasson, Larry Fishburne","During a hallucinatory incident, young Kristen Parker (Patricia Arquette) has her wrists slashed by dream-stalking monster Freddy Krueger (Robert Englund)....",,Horror,6.6,49,96,79500,FALSE
Phenomena,1985,76,75.174,Dario Argento,"Jennifer Connelly, Donald Pleasence, Dalila Di Lazzaro, Fausta Avelli",An American (Jennifer Connelly) at a Swiss finishing school calls on insects to help a paralyzed scientist (Donald Pleasence) fight...,,Horror,6.7,57,116,26178,FALSE
Bram Stoker's Dracula,1992,76,80.042,Francis Ford Coppola,"Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves",Adaptation of Bram Stoker's classic vampire novel. Gary Oldman plays Dracula whose lonely soul is determined to reunite with his...,215862692,Drama,7.4,57,128,212301,TRUE
